Comment,Designator,Footprint,LCSC
1k,"R1,R5,R6",R_0402_1005Metric,C11702
2.2u,"C13,C14,C16",C_0402_1005Metric,C12530
100n,"C1,C11,C12,C15,C2,C3,C4,C5,C6,C7,C8",C_0402_1005Metric,C1525
22p,"C17,C18",C_0402_1005Metric,C1555
RP2040,U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
27,"R2,R3",R_0402_1005Metric,C25100
10k,R4,R_0402_1005Metric,C25744
SW_Push,"SW54,SW55",SW_Push_1P1T_XKB_TS-1187A,C318884
Conn_01x04,J1,Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,C528030
1u,"C10,C9",C_0402_1005Metric,C52923
XC6206PxxxMR,U1,SOT-23-3,C5446
DIODE,"D1,D10,D11,D12,D13,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D42,D43,D44,D45,D46,D47,D48,D49,D5,D6,D7,D8,D9",D_SOD-123,C81598
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
W25Q128JVS,U3,SOIC-8_5.23x5.23mm_P1.27mm,C97521
